trigram|PMI
('nun', 'komm', 'der')|27.69
('orchesterwerke', 'romantik', 'themen')|27.69
('paralytic', 'sadness', 'breaking')|27.69
('paris', 'surely', 'count')|27.69
('patron', 'archduke', 'rudolph')|27.69
('petticoats', 'powdered', 'wigs')|27.69
('projects', 'air', 'extemporaneous')|27.69
('notable', 'recorded', 'performances')|27.69
('nigar', 'alluded', 'banjo')|27.69
('razz', 'ma', 'tazz')|27.69
('komm', 'der', 'heiden')|27.69
('letter', 'fellow', 'freemason')|27.69
('manage', 'mere', 'mortals')|27.69
('mendelsohn', 'ian', 'sweetness')|27.69
('mendelsohnn', 'swws', 'night')|27.69
('menuetto', 'utmost', 'dignity')|27.69
('michael', 'von', 'puchberg')|27.69
('miniature', 'masterpiece', 'offers')|27.69
('moonlit', 'meditations', 'nocturnes')|27.69
('murmurings', 'hypnotic', 'static')|27.69
('musicaux', 'emphasizes', 'influence')|27.69
('mustonen', 'interpretation', 'crystalline')|27.69
('puchberg', 'dated', 'july')|27.69
('kennedy', 'winston', 'churchill')|27.69
('tempi', 'judged', 'kept')|27.69
('tinyurl', 'com', 'y7y635ml')|27.69
('topic', 'debate', 'claim')|27.69
('trios', 'contain', 'bleakest')|27.69
('unsuspected', 'heights', 'glory')|27.69
('utterances', 'convulsive', 'spasms')|27.69
('verbatim', 'quote', 'retrograde')|27.69
('village', 'band', 'crude')|27.69
('sustain', 'pedaling', 'assembles')|27.69
('subsequent', 'transpositions', 'seconds')|27.69
('resume', 'heart', 'stoppingly')|27.69
('rhine', 'rescued', 'bargemen')|27.69
('severe', 'aural', 'hallucinations')|27.69
('shades', 'clavecinistes—rameau', 'couperin—in')|27.69
('sits', 'lawn', 'chair')|27.69
('spectrum', 'deploying', 'locrian')|27.69
('spills', 'panting', 'fragments')|27.69
('staffs', 'confusing', 'tedious')|27.69
('stops', 'gaze', 'sky')|27.69
('chabrier', 'bourrée', 'fantasque')|27.69
('com', 'y7y635ml', 'decision')|27.69
('combative', 'filled', 'jabbing')|27.69
('concept', 'jazz', 'theory')|27.69
('corpse', 'heaved', 'grave')|27.69
('cousin', 'corrente', 'hops')|27.69
('cue', 'audience', 'applause')|27.69
('der', 'heiden', 'heiland')|27.69
('devil', 'care', 'breeziness')|27.69
('drums', 'influenced', 'american')|27.69
('evokes', 'seaside', 'pleasures')|27.69
('acid', 'reflux', 'alternate')|27.69
('act', 'henrik', 'ibsen')|27.69
('audience', 'applause', 'exits')|27.69
('billows', 'watery', 'wetness')|27.69
('blissful', 'peace', 'reign')|27.69
('blurry', 'billows', 'watery')|27.69
('boat', 'lapped', 'choppy')|27.69
('brace', 'menuets', 'fashionable')|27.69
('eruptive', 'surges', 'depths')|27.69
('cimbalom', 'hammered', 'dulcimer')|27.69
('heiden', 'heiland', 'kerman')|27.69
('https', 'tinyurl', 'com')|27.69
('ian', 'sweetness', 'trios')|27.69
('image', 'bubbling', 'fountain')|27.69
('imagined', 'upheld', 'lavishly')|27.69
('immense', 'gifts', 'melodist')|27.69
('influenced', 'american', 'minstrel')|27.69
('insanity', 'finish', 'titanic')|27.69
('intentions', 'experimental', 'implementation')|27.69
('interpretation', 'crystalline', 'brittle')|27.69
('fantasie', 'bravoura', 'sur')|27.69
('hint', 'crinoline', 'petticoats')|27.69
('g7', 'substituted', 'db7')|27.69
('fellow', 'freemason', 'michael')|27.69
('flair', 'continual', 'gauntlets')|27.69
('floats', 'seventeen', 'consecutive')|27.69
('fountain', 'inspiration', 'deeper')|27.69
('friend', 'advice', 'doctor')|27.69
('freemason', 'michael', 'von')|27.69
('gallic', 'shades', 'clavecinistes—rameau')|27.69
('granite', 'hewn', 'hardness')|27.69
('portion', 'feverish', 'buzzing')|26.69
('pompous', 'procession', 'suspensions')|26.69
('quartet', 'lieder', 'album')|26.69
('precision', 'peppery', 'fanfares')|26.69
('presages', 'operatic', 'arias')|26.69
('quartets', 'king', 'hermann')|26.69
('reflux', 'alternate', 'brilliant')|26.69
('renaissance', 'era', 'fauxbourdon')|26.69
('resources', 'online', 'print')|26.69
('reveals', 'immense', 'gifts')|26.69
('poles', 'emotion', 'explosive')|26.69
('polka', 'oom', 'cha')|26.69
('pointillistic', 'rendering', 'kissin')|26.69
('pleasures', 'serene', 'beauty')|26.69
('segment', 'replaced', 'lengthy')|26.69
('ma', 'tazz', 'blue')|26.69
('online', 'print', 'audiation')|26.69
('parody', 'courtly', 'hommage')|26.69
('performer', 'concentration', 'wane')|26.69
('serene', 'beauty', 'urban')|26.69
('trick', 'maintaining', 'semblance')|26.69
('turmoil', 'returned', 'emotional')|26.69
('undertakes', 'daring', 'transformations')|26.69
('undertone', 'grating', 'menace')|26.69
('unimaginable', 'era', 'cantor')|26.69
('voicings', 'voicing', 'tops')|26.69
('waters', 'plumbed', 'pensive')|26.69
('lento', 'gran', 'espressione')|26.69
('sonorities', 'pedalled', 'blurry')|26.69
('sotto', 'voce', 'ominous')|26.69
('special', 'events', 'weddings')|26.69
('sportive', 'child', 'water')|26.69
('st', 'antoni', 'method')|26.69
('stay', 'friend', 'advice')|26.69
('stormy', 'threatening', 'moody')|26.69
('street', 'astonished', 'delight')|26.69
('studies', 'emphasize', 'affectations')|26.69
('lightens', 'joins', 'fun')|26.69
('lake', 'encrusted', 'barnacles')|26.69
('child', 'water', 'park')|26.69
('beginner', 'taught', 'lesson')|26.69
('beginnings', 'sophisticated', 'impressionism')|26.69
('bombastic', 'crowd', 'pleasing')|26.69
('bourrée', 'fantasque', 'poulenc')|26.69
('champion', 'vladimir', 'sofronitzky')|26.69
('choose', 'face', 'reason')|26.69
('band', 'crude', 'contrasts')|26.69
('choppy', 'waves', 'sea')|26.69
('bang', 'job', 'feeling')|26.69
('aura', 'mystery', 'pervades')|26.69
('knife', 'edge', 'parody')|26.69
('absolute', 'insanity', 'finish')|26.69
('activity', 'artfully', 'synch')|26.69
('air', 'extemporaneous', 'improvisation')|26.69
('alternate', 'brilliant', 'cascades')|26.69
('antoni', 'method', 'imply')|26.69
('apres', 'le', 'caprice')|26.69
('archaic', 'renaissance', 'era')|26.69
('assist', 'stylistic', 'understanding')|26.69
('crystalline', 'brittle', 'reminds')|26.69
('friends', 'blithely', 'ignores')|26.69
('gallop', 'tarantella', 'breathless')|26.69
('generates', 'wonderful', 'results')|26.69
('grande', 'fantasie', 'bravoura')|26.69
('festive', 'celebratory', 'anticipate')|26.69
('inspiration', 'deeper', 'waters')|26.69
('intense', 'paralytic', 'sadness')|26.69
('dancelike', 'helter', 'skelter')|26.69
('fantasque', 'poulenc', 'capricious')|26.69
('daydream', 'circling', 'round')|26.69
('delight', 'privileged', 'visitors')|26.69
('displacement', 'highlighted', 'alters')|26.69
('emotion', 'explosive', 'vs')|26.69
('enjoy', 'response', 'approach')|26.69
('era', 'cantor', 'leipzig')|26.69
('element', 'wobble', 'cheery')|26.69
('plath', 'wolfgang', 'rehm')|26.1
('roguish', 'scampering', 'hyper')|26.1
('rapturous', 'flights', 'passion')|26.1
('resolution', 'question', 'characteristics')|26.1
('mere', 'mortals', 'brilliance')|26.1
('maturity', 'truly', 'effective')|26.1
('manuscript', 'https', 'tinyurl')|26.1
('lends', 'charmingly', 'conversational')|26.1
('italian', 'cousin', 'corrente')|26.1
('hyper', 'architectural', 'leanings')|26.1
('smoothness', 'doesn', 'devolve')|26.1
('helter', 'skelter', 'deceptive')|26.1
('world', 'sombre', 'dirge')|26.1
('warp', 'don', 'apparel')|26.1
('upheld', 'lavishly', 'decorative')|26.1
('unstable', 'perpetuated', 'motoric')|26.1
